[2021-10-25T11:36:42.962836+00:00] usuario.INFO: Se ha registrado un usuario nuevo [] []
[2021-10-25T14:59:28.911242+00:00] usuario.INFO: Se ha registrado un usuario nuevo [] []
[2021-10-25T14:59:56.580953+00:00] usuario.INFO: Se ha editado el usuarioMaxPowercorrectamente [] []
[2021-10-25T15:13:49.014389+00:00] usuario.INFO: El usuario MaxPower ha sido eliminado [] []
[2021-10-26T08:06:16.040354+00:00] User.INFO: User Usuario successfully registered on 2021-10-26 08:06:16 [] []
[2021-10-27T14:32:15.135200+00:00] Analysis.INFO: Analysis 1 successfully registered on 2021-10-27 14:32:15 [] []
[2021-10-27T14:41:41.642669+00:00] Analysis.INFO: Analysis 1 successfully registered on 2021-10-27 14:41:41 [] []
[2021-10-27T14:55:53.892217+00:00] Analysis.INFO: Analysis 1 successfully edited on 2021-10-27 14:55:53 [] []
[2021-10-27T19:21:52.320415+00:00] Category.INFO: Category Technical successfully registered on 2021-10-27 19:21:52 [] []
[2021-10-27T19:22:23.467329+00:00] Category.INFO: Category Fundamental successfully registered on 2021-10-27 19:22:23 [] []
[2021-10-27T19:24:51.483094+00:00] Category.INFO: Category Fundamental successfully registered on 2021-10-27 19:24:51 [] []
[2021-10-27T19:59:10.906431+00:00] Category.INFO: Category Chamanic successfully registered on 2021-10-27 19:59:10 [] []
[2021-10-27T20:00:28.884598+00:00] Category.INFO: Category Chamanic successfully registered on 2021-10-27 20:00:28 [] []
[2021-10-27T20:02:42.636839+00:00] Category.INFO: Category Chamanic successfully registered on 2021-10-27 20:02:42 [] []
[2021-10-27T20:03:23.689231+00:00] Category.INFO: Category Chamanic successfully registered on 2021-10-27 20:03:23 [] []
[2021-10-27T21:40:14.589725+00:00] Analysis.INFO: Analysis 1 successfully registered on 2021-10-27 21:40:14 [] []
[2021-10-27T21:50:10.305357+00:00] Analysis.INFO: Analysis 2 successfully registered on 2021-10-27 21:50:10 [] []
